"event_id","p_home","p_draw","p_away","outcome","entropy"
"1618108832","0.438415","0.266652","0.294933","away","1.549586"
"1618111747","0.443611","0.258380","0.298009","home","1.545157"
"1618111759","0.310940","0.301314","0.387746","draw","1.575474"
"1618125619","0.414222","0.321261","0.264517","home","1.560471"
"1618172582","0.343746","0.270222","0.386032","draw","1.569793"
"1618172611","0.618336","0.239853","0.141811","draw","1.322501"
"1618172619","0.079335","0.137096","0.783568","draw","0.958774"
"1618172620","0.352257","0.252527","0.395215","home","1.560950"
"1618172621","0.255677","0.246592","0.497731","draw","1.502135"
"1618174870","0.415898","0.300370","0.283732","home","1.563254"
"1618174888","0.337066","0.346662","0.316273","draw","1.583912"
"1618174895","0.692252","0.183941","0.123807","home","1.189774"
"1618174911","0.523895","0.258325","0.217780","home","1.471964"
"1618180986","0.424920","0.292212","0.282868","home","1.558644"
"1618180987","0.456360","0.298174","0.245466","home","1.534446"
"1618181087","0.639967","0.205170","0.154864","home","1.297657"
"1618181120","0.620201","0.240966","0.138832","draw","1.317640"
"1618181125","0.124585","0.214088","0.661327","draw","1.244950"
"1618192264","0.791401","0.133666","0.074933","home","0.935303"
"1618203058","0.127813","0.232276","0.639911","draw","1.280667"
"1618203064","0.704531","0.181335","0.114134","home","1.160028"
"1618203065","0.349124","0.279099","0.371777","away","1.574608"
"1618206883","0.497786","0.241711","0.260503","away","1.501693"
"1618211394","0.527785","0.280672","0.191543","draw","1.457778"
"1618298011","0.635288","0.222497","0.142215","away","1.298384"
"1618303019","0.614443","0.253820","0.131738","home","1.319060"
"1618303054","0.319191","0.320241","0.360568","home","1.582584"
"1618303055","0.407114","0.287870","0.305016","home","1.567489"
"1618303069","0.526206","0.267006","0.206788","home","1.466276"
"1618304765","0.398844","0.282081","0.319075","draw","1.569783"
"1618304766","0.306810","0.292948","0.400242","draw","1.570619"
"1618307417","0.426721","0.298443","0.274837","home","1.557028"
"1618307419","0.335856","0.280687","0.383458","home","1.573424"
"1618307420","0.331438","0.333708","0.334855","draw","1.584949"
"1618313207","0.137188","0.187899","0.674913","draw","1.229184"
"1618314563","0.372078","0.313455","0.314466","home","1.580175"
"1618314564","0.317754","0.264939","0.417307","home","1.559413"
"1618314580","0.498594","0.250703","0.250703","home","1.501401"
"1618314582","0.628694","0.210523","0.160782","home","1.318154"
"1618315801","0.350102","0.265200","0.384697","home","1.568117"
"1618323259","0.627532","0.238617","0.133850","home","1.303469"
"1618323271","0.355277","0.345198","0.299526","home","1.581080"
"1618323311","0.515226","0.240269","0.244505","home","1.484078"
